value for f(x)	value for f'(x)	T_0_n	T_0_n+1
-50.2439138217	4.49152512461	20	31.1863815581
-44.4376453713	2.23693845473	31.1863815581	51.051767339
-21.5058192455	0.600901291818	51.051767339	86.8410384528
-9.79617972533	0.179744504321	86.8410384528	141.341618386
-3.93643387551	0.0645417267699	141.341618386	202.332144554
-1.20946397324	0.0310014959695	202.332144554	241.345228775
-0.197854005255	0.0216909598267	241.345228775	250.466724866
-0.00727859754221	0.0201244859826	250.466724866	250.828403547
-1.05990639838e-05	0.020065918403	250.828403547	250.828931759
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
-50.2439138217	4.49152512461	20	31.1863815581
-44.4376453713	2.23693845473	31.1863815581	51.051767339
-21.5058192455	0.600901291818	51.051767339	86.8410384528
-9.79617972533	0.179744504321	86.8410384528	141.341618386
-3.93643387551	0.0645417267699	141.341618386	202.332144554
-1.20946397324	0.0310014959695	202.332144554	241.345228775
-0.197854005255	0.0216909598267	241.345228775	250.466724866
-0.00727859754221	0.0201244859826	250.466724866	250.828403547
-1.05990639838e-05	0.020065918403	250.828403547	250.828931759
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
-68.2099485248	297.806104364	1	1.22904147204
-29.7016197654	90.6286347215	1.22904147204	1.55677033893
-12.7965750742	28.3668304286	1.55677033893	2.0078808395
-5.18641483586	9.84380984277	2.0078808395	2.5347515246
-1.75295547242	4.28929670002	2.5347515246	2.9434328528
-0.371382603685	2.66299913566	2.9434328528	3.08289313227
-0.0251089212835	2.31510406413	3.08289313227	3.09373883103
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
-68.2099485248	297.806104364	1	1.22904147204
-29.7016197654	90.6286347215	1.22904147204	1.55677033893
-12.7965750742	28.3668304286	1.55677033893	2.0078808395
-5.18641483586	9.84380984277	2.0078808395	2.5347515246
-1.75295547242	4.28929670002	2.5347515246	2.9434328528
-0.371382603685	2.66299913566	2.9434328528	3.08289313227
-0.0251089212835	2.31510406413	3.08289313227	3.09373883103
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
value for f(x)	value for f'(x)	T_0_n	T_0_n+1
-542.317035155	3290.89582776	1.0	1.1647931334
-231.070669599	1021.30962394	1.1647931334	1.39104251379
-100.215607046	309.98649017	1.39104251379	1.71433275457
-44.1611959187	92.4306403198	1.71433275457	2.19210934214
-19.5615454197	27.6367931858	2.19210934214	2.89991741843
-8.43605830211	8.74867890923	2.89991741843	3.86418395394
-3.27529725064	3.25336914306	3.86418395394	4.87092407675
-0.957347910107	1.63021182702	4.87092407675	5.45817776627
-0.138647179973	1.19272768698	5.45817776627	5.57442155057
-0.00384090216303	1.12757837701	5.57442155057	5.57782787889
