137.52 602.63 1.096206 6 11 42 3
140.74 608.02 1.032382 6 11 42 -1
144.05 613.95 1.061503 6 11 42 -1
147.52 620.28 1.069101 6 11 42 -1
151.16 626.94 1.070880 6 11 42 -1
154.96 633.84 1.067296 6 11 42 -1
158.93 640.89 1.057712 6 11 42 -1
163.08 648.02 1.043307 6 11 42 -1
167.39 655.13 1.026181 6 11 42 -1
171.82 662.16 1.008257 10 12 42 -1
176.32 669.03 0.990867 6 12 42 -1
180.86 675.71 0.974803 6 12 42 -1
185.38 682.19 0.960488 6 12 42 -1
189.89 688.46 0.948074 6 12 42 -1
194.35 694.54 0.937466 6 12 42 -1
198.79 700.47 0.928297 6 12 42 -1
203.19 706.24 0.919951 6 12 42 -1
207.56 711.89 0.911616 6 12 42 -1
211.92 717.41 0.902382 6 12 42 -1
216.27 722.79 0.891352 6 12 42 -1
220.62 728.03 0.877738 6 12 43 -1
224.99 733.12 0.860932 6 12 43 -1
229.40 738.04 0.840576 6 12 43 -1
233.86 742.79 0.816596 6 12 43 -1
238.39 747.35 0.789216 6 12 43 -1
243.01 751.74 0.758941 6 12 43 -1
247.73 755.93 0.726494 6 12 43 -1
252.58 759.96 0.692731 6 12 17 -1
257.55 763.81 0.658533 6 12 17 -1
262.67 767.49 0.624711 6 12 17 -1
267.93 771.03 0.591932 6 12 17 -1
273.33 774.42 0.560688 6 12 17 -1
278.87 777.68 0.531286 6 0 17 -1
284.55 780.81 0.503868 6 0 17 -1
290.36 783.82 0.478446 6 0 17 -1
296.29 786.72 0.454932 6 0 17 -1
302.34 789.52 0.433166 6 0 17 -1
308.48 792.21 0.412946 6 0 17 -1
314.73 794.81 0.394040 6 0 17 -1
321.06 797.31 0.376207 6 0 17 -1
327.48 799.72 0.359205 6 0 17 -1
333.98 802.04 0.342800 6 0 17 -1
340.55 804.27 0.326780 6 0 17 -1
347.19 806.40 0.310956 6 0 17 -1
353.92 808.45 0.295173 6 0 17 -1
360.72 810.40 0.279313 6 0 17 -1
367.60 812.25 0.263299 6 0 18 -1
374.56 814.01 0.247093 6 0 18 -1
381.62 815.67 0.230692 6 0 18 -1
388.76 817.22 0.214125 6 0 18 -1
396.01 818.67 0.197444 6 0 18 -1
403.37 820.01 0.180718 6 0 18 -1
410.83 821.25 0.164023 6 0 18 -1
418.41 822.37 0.147437 6 0 19 -1
426.10 823.39 0.131033 6 0 19 -1
433.90 824.29 0.114880 6 0 19 -1
441.83 825.08 0.099033 6 0 19 -1
449.86 825.75 0.083542 6 0 19 -1
458.01 826.31 0.068444 6 0 19 -1
466.27 826.75 0.053772 6 0 19 -1
474.63 827.08 0.039545 6 0 19 -1
483.09 827.30 0.025780 6 0 19 -1
491.65 827.41 0.012484 6 0 19 -1
500.29 827.40 -0.000345 6 0 19 -1
509.01 827.29 -0.012714 6 0 19 -1
517.81 827.08 -0.024643 6 1 19 -1
526.67 826.76 -0.036157 6 1 19 -1
535.59 826.33 -0.047293 6 1 19 -1
544.57 825.81 -0.058096 6 1 19 -1
553.59 825.19 -0.068617 6 1 19 -1
562.64 824.48 -0.078915 6 1 19 -1
571.73 823.66 -0.089051 6 1 20 -1
580.84 822.76 -0.099088 6 1 20 -1
