273.01 198.26 257.1  210.50 	1.2918 -121.75 150 -1  0.0604 133.4421  -0.201	143.6279
297.93 178.97 280.4  188.65 	1.8075 -318.23 150 -1  0.0604 133.4421  0.0159	50.02196
326.29 163.28 307.8  170.97 	2.3992 -567.57 150 -1  0.0604 133.4421  0.0159	50.02196
357.48 150.28 338.4  156.39 	3.1123 -896.94 150 -1  0.0604 133.4421  0.0159	50.02196
390.72 139.60 371.2  144.16 	4.2672 -1440.0 150 -1  0.3657 -92.7383  0.0159	50.02196
426.01 131.33 406.2  134.26 	6.7419 -2604.5 150 -1  0.3657 -92.7383  0.0832	10.60397
463.90 125.71 443.9  127.07 	14.598 -6353.9 150 -1  0.3657 -92.7383  0.0832	10.60397
#504.63 122.92 484.6  122.91  	0.3657 9999.738 150 -1  0.0832 -92.7383  0.0832	10.60397
547.81 122.92 527.8  121.76 	-17.24 9223.00 150 -1  0.9573 -604.922  0.1650	-50.19636
592.64 125.52 572.7  123.33 	-9.116 5344.61 150 -1  0.9573 -604.922  0.1650	-50.19636
638.22 130.52 618.4  127.32 	-6.170 3943.51 150 -1  0.9573 -604.922  0.6948	-503.9526
683.51 137.86 663.9  133.54 	-4.524 3137.52 150 -1  0.9573 -604.922  0.6948	-503.9526
727.44 147.57 708.2  141.99 	-3.445 2582.05 150 -1  3.5218 -3093.83  0.6948	-503.9526
768.99 159.63 750.2  152.65 	-2.685 2167.27 150 -1  3.5218 -3093.83  0.8402	-643.2781
807.47 173.96 789.3  165.43 	-2.121 1840.47 150 -1  3.5218 -3093.83  0.8402	-643.2781
842.61 190.52 825.3  180.38 	-1.701 1584.74 150 -1  3.5218 -3093.83  2.5615	-2427.192
874.53 209.28 858.3  197.59 	-1.388 1389.12 150 -1  -63.70 67717.49  2.5615	-2427.192
903.60 230.22 888.4  217.11 	-1.152 1241.14 150 -1  -63.70 67717.49  2.5615	-2427.192
930.27 253.36 916.3  238.98 	-0.967 1125.83 150 -1  -63.70 67717.49  4.8080	-4863.309
954.91 278.82 942.2  263.32 	-0.816 1032.91 150 -1  -63.70 67717.49  4.8080	-4863.309
977.73 306.76 966.3  290.30 	-0.690 957.932 150 -1  -63.70 67717.49  4.8080	-4863.309
998.76 337.2  988.0  319.96 	-0.589 902.535 150 -1  -63.70 67717.49  4.8080	-4863.309
1018.0 369.85 1008.0 352.04 	-0.511 867.941 150 -1  -63.70 67717.49  4.8080	-4863.309
1035.5 404.21 1027.0 385.97 	-0.450 849.077 150 -1  -63.70 67717.49  4.8080	-4863.309
1051.6 439.86 1044.0 421.27 	-0.397 836.644 150 -1  -63.70 67717.49  4.8080	-4863.309
1066.2 476.59 1059.0 457.63 	-0.337 815.120 140 -1  -0.140 833.5150  46.006	-51972.54
1079.0 514.48 1074.0 495.10 	-0.255 769.930 140 -1  -0.140 833.5150  46.006	-51972.54
1089.0 553.64 1086.0 533.84 	-0.145 691.522 130 -1  -0.012 732.3235  -0.146 	976.4748
1094.9 593.87 1094.0 573.87   	-0.001 574.139 130 -1  -0.012 732.3235  -0.146 	976.4748
1094.9 634.45 1098.0 614.77 	0.1832 413.459 120 -1  -0.012 732.3235  -0.146 	976.4748
1087.6 674.01 1095.0 655.54 	0.4161 199.678 120 -1  -0.012 732.3235  -0.146 	976.4748
1072.4 710.7  1084.0 694.56 	0.7325 -99.692 110 -1  -0.012 732.3235  -0.146 	976.4748
1049.1 742.41 1064.0 729.77 	1.2264 -576.00 110 -1  -0.012 732.3235  -0.146 	976.4748
1018.7 767.18 1036.0 758.86 	2.1865 -1508.5 100 -1  -0.012 732.3235  1.4581	-368.1623
982.67 783.69 1002.0 779.70 	4.9163 -4147.8 100 -1  -0.012 732.3235  -0.184 	941.2399
942.70 791.82 962.6  791.29 	38.154 -35939. 100 -1  0.0847 701.3823  -0.184 	941.2399
900.73 792.92 920.6  794.54 	-12.30 12119.2 100 -1  0.0847 701.3823  -0.0434  838.1029
858.17 789.46 878.0  791.90 	-8.105 7908.39 120 -1  0.0847 701.3823  -0.0434  838.1029
815.78 784.23 835.6  786.49 	-8.788 8130.78 120 -1  0.0847 701.3823  -0.0434  838.1029
773.77 779.45 793.7  780.98  	-12.95 11067.0 130 -1  0.0847 701.3823  -0.0434  838.1029
732.17 776.24 752.1  776.95 	-28.04 21873.1 130 -1  0.0847 701.3823  -0.0434  838.1029
690.94 774.77 710.9  774.84   	-273.4 195145. 140 -1  0.0847 701.3823  -0.0434  838.1029
649.93 774.62 669.9  774.33 	69.440 -45745. 140 -1  0.0847 701.3823  -0.0434  838.1029
608.96 775.21 628.9  774.82 	52.512 -32253. 150 -1  0.0847 701.3823  -0.0434  838.1029
568.00 775.99 587.9  775.67 	62.784 -36141. 150 -1  0.0847 701.3823  -0.0434  838.1029
527.19 776.64 547.1  776.43 	96.952 -52274. 150 -1  0.0847 701.3823  -0.0434  838.1029
486.47 777.06 506.4  776.91 	141.55 -70914. 150 -1  0.4157 639.7862  -0.424 	958.3428
445.42 777.35 465.4  777.25 	210.05 -96984. 150 -1  0.4157 639.7862  0.3528	747.6122
403.41 777.55 423.4  777.57 	-719.3 305350. 150 -1  0.4157 639.7862  0.3528	747.6122
360.25 777.49 380.2  777.90 	-47.74 18930.5 150 -1  -3.876 1150.292  0.3528	747.6122
316.33 776.57 336.2  777.92 	-14.68 5715.69 140 -1  -3.876 1150.292  0.3528	747.6122
272.28 773.57 292.0  776.67 	-6.362 2634.63 140 -1  -2.688 915.6348  -5.010	883.5908
