117.363998036  814.452525074
189.711061695  844.483634886
325.323601631  864.427885898
415.732664198  878.392817926
623.633248542  872.191944998
778.300575515  865.034521701
857.628773541  847.911566765
963.018186935  780.608401525
1025.21815493  712.339894093
1057.30144182  658.14182057
1124.35890503  433.377980345
1090.89288138  127.447148819
923.14541271  112.546766798
840.775615382  102.587389435
799.648682054  152.780787475
733.345822137  139.797902102
699.196861429  139.827794301
300.443825216  127.135918277
253.215776724  106.111152189
40.3375508335  154.448596343
-0.806245137368  188.591641882
81.8512710438  472.410158786
105.080616237  594.77387541
